series,timestamp,value,label
s1,2023-01-22T14:04:41Z,951,
s1,2023-01-22T14:04:42Z,952,
s1,2023-01-22T14:04:43Z,952,
s1,2023-01-22T14:04:44Z,952,
s1,2023-01-22T14:04:45Z,952,
s1,2023-01-22T14:04:46Z,952,
s1,2023-01-22T14:04:47Z,951,
s1,2023-01-22T14:04:48Z,951,
s1,2023-01-22T14:04:49Z,951,
s1,2023-01-22T14:04:50Z,951,
s1,2023-01-22T14:04:51Z,951,
s1,2023-01-22T14:04:52Z,951,
s1,2023-01-22T14:04:53Z,950,
s1,2023-01-22T14:04:54Z,950,
s1,2023-01-22T14:04:55Z,950,
s1,2023-01-22T14:04:56Z,950,
s1,2023-01-22T14:04:57Z,950,
s1,2023-01-22T14:04:58Z,951,
s1,2023-01-22T14:04:59Z,951,
s1,2023-01-22T14:05:00Z,952,
s1,2023-01-22T14:05:01Z,953,
s1,2023-01-22T14:05:02Z,953,
s1,2023-01-22T14:05:03Z,953,
s1,2023-01-22T14:05:04Z,953,
s1,2023-01-22T14:05:05Z,953,
s1,2023-01-22T14:05:06Z,953,
s1,2023-01-22T14:05:07Z,953,
s1,2023-01-22T14:05:08Z,953,
s1,2023-01-22T14:05:09Z,953,
s1,2023-01-22T14:05:10Z,953,
s1,2023-01-22T14:05:11Z,954,
s1,2023-01-22T14:05:12Z,955,
s1,2023-01-22T14:05:13Z,955,
s1,2023-01-22T14:05:14Z,955,
s1,2023-01-22T14:05:15Z,955,
s1,2023-01-22T14:05:16Z,955,
s1,2023-01-22T14:05:17Z,955,
s1,2023-01-22T14:05:18Z,955,
s1,2023-01-22T14:05:19Z,955,
s1,2023-01-22T14:05:20Z,956,
s1,2023-01-22T14:05:21Z,957,
s1,2023-01-22T14:05:22Z,957,
s1,2023-01-22T14:05:23Z,958,
s1,2023-01-22T14:05:24Z,958,
s1,2023-01-22T14:05:25Z,959,
s1,2023-01-22T14:05:26Z,960,
s1,2023-01-22T14:05:27Z,961,
s1,2023-01-22T14:05:28Z,962,
s1,2023-01-22T14:05:29Z,962,
s1,2023-01-22T14:05:30Z,962,
s1,2023-01-22T14:05:31Z,962,
s1,2023-01-22T14:05:32Z,962,
s1,2023-01-22T14:05:33Z,962,
s1,2023-01-22T14:05:34Z,962,
s1,2023-01-22T14:05:35Z,963,
s1,2023-01-22T14:05:36Z,963,
s1,2023-01-22T14:05:37Z,962,
s1,2023-01-22T14:05:38Z,963,
s1,2023-01-22T14:05:39Z,963,
s1,2023-01-22T14:05:40Z,963,
s1,2023-01-22T14:05:41Z,963,
s1,2023-01-22T14:05:42Z,963,
s1,2023-01-22T14:05:43Z,963,
s1,2023-01-22T14:05:44Z,963,
s1,2023-01-22T14:05:45Z,963,
s1,2023-01-22T14:05:46Z,963,
s1,2023-01-22T14:05:47Z,963,
s1,2023-01-22T14:05:48Z,963,
s1,2023-01-22T14:05:49Z,964,
s1,2023-01-22T14:05:50Z,964,
s1,2023-01-22T14:05:51Z,963,
s1,2023-01-22T14:05:52Z,963,
s1,2023-01-22T14:05:53Z,963,
s1,2023-01-22T14:05:54Z,962,
s1,2023-01-22T14:05:55Z,963,
s1,2023-01-22T14:05:56Z,963,
s1,2023-01-22T14:05:57Z,963,
s1,2023-01-22T14:05:58Z,963,
s1,2023-01-22T14:05:59Z,964,
s1,2023-01-22T14:06:00Z,964,
s1,2023-01-22T14:06:01Z,964,
s1,2023-01-22T14:06:02Z,964,
s1,2023-01-22T14:06:03Z,964,
s1,2023-01-22T14:06:04Z,964,
s1,2023-01-22T14:06:05Z,964,
s1,2023-01-22T14:06:06Z,964,
s1,2023-01-22T14:06:07Z,964,
s1,2023-01-22T14:06:08Z,963,
s1,2023-01-22T14:06:09Z,963,
s1,2023-01-22T14:06:10Z,962,
s1,2023-01-22T14:06:11Z,961,
s1,2023-01-22T14:06:12Z,962,
s1,2023-01-22T14:06:13Z,962,
s1,2023-01-22T14:06:14Z,962,
s1,2023-01-22T14:06:15Z,963,
s1,2023-01-22T14:06:16Z,963,
s1,2023-01-22T14:06:17Z,963,
s1,2023-01-22T14:06:18Z,963,
s1,2023-01-22T14:06:19Z,963,
s1,2023-01-22T14:06:20Z,963,
s1,2023-01-22T14:06:21Z,963,
s1,2023-01-22T14:06:22Z,964,
s1,2023-01-22T14:06:23Z,963,
s1,2023-01-22T14:06:24Z,963,
s1,2023-01-22T14:06:25Z,963,
s1,2023-01-22T14:06:26Z,963,
s1,2023-01-22T14:06:27Z,963,
s1,2023-01-22T14:06:28Z,962,
s1,2023-01-22T14:06:29Z,962,
s1,2023-01-22T14:06:30Z,962,
s1,2023-01-22T14:06:31Z,962,
s1,2023-01-22T14:06:32Z,962,
s1,2023-01-22T14:06:33Z,962,
s1,2023-01-22T14:06:34Z,962,
s1,2023-01-22T14:06:35Z,961,
s1,2023-01-22T14:06:36Z,962,
s1,2023-01-22T14:06:37Z,963,
s1,2023-01-22T14:06:38Z,964,
s1,2023-01-22T14:06:39Z,966,
s1,2023-01-22T14:06:40Z,966,
s1,2023-01-22T14:06:41Z,966,
s1,2023-01-22T14:06:42Z,967,
s1,2023-01-22T14:06:43Z,968,
s1,2023-01-22T14:06:44Z,969,
s1,2023-01-22T14:06:45Z,969,
s2,2023-01-22T13:57:01Z,882,
s2,2023-01-22T13:57:02Z,890,
s2,2023-01-22T13:57:03Z,898,
s2,2023-01-22T13:57:04Z,905,
s2,2023-01-22T13:57:05Z,912,
s2,2023-01-22T13:57:06Z,917,
s2,2023-01-22T13:57:07Z,922,
s2,2023-01-22T13:57:08Z,927,
s2,2023-01-22T13:57:09Z,931,
s2,2023-01-22T13:57:10Z,934,
s2,2023-01-22T13:57:11Z,937,
s2,2023-01-22T13:57:12Z,940,
s2,2023-01-22T13:57:13Z,943,
s2,2023-01-22T13:57:14Z,945,
s2,2023-01-22T13:57:15Z,947,
s2,2023-01-22T13:57:16Z,949,
s2,2023-01-22T13:57:17Z,951,
s2,2023-01-22T13:57:18Z,953,
s2,2023-01-22T13:57:19Z,954,
s2,2023-01-22T13:57:20Z,956,
s2,2023-01-22T13:57:21Z,957,
s2,2023-01-22T13:57:22Z,958,
s2,2023-01-22T13:57:23Z,958,
s2,2023-01-22T13:57:24Z,959,
s2,2023-01-22T13:57:25Z,959,
s2,2023-01-22T13:57:26Z,960,
s2,2023-01-22T13:57:27Z,960,
s2,2023-01-22T13:57:28Z,960,
s2,2023-01-22T13:57:29Z,960,
s2,2023-01-22T13:57:30Z,961,
s2,2023-01-22T13:57:31Z,962,
s2,2023-01-22T13:57:32Z,963,
s2,2023-01-22T13:57:33Z,963,
s2,2023-01-22T13:57:34Z,963,
s2,2023-01-22T13:57:35Z,964,
s2,2023-01-22T13:57:36Z,964,
s2,2023-01-22T13:57:37Z,964,
s2,2023-01-22T13:57:38Z,964,
s2,2023-01-22T13:57:39Z,964,
